"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2021","155.59","155.59","155.59","155.59","","-0.62%"
"01/28/2021","156.56","156.56","156.56","156.56","","-0.25%"
"01/27/2021","156.95","156.95","156.95","156.95","","-0.32%"
"01/26/2021","157.45","157.45","157.45","157.45","","0.24%"
"01/25/2021","157.07","157.07","157.07","157.07","","1.44%"
"01/22/2021","154.84","154.84","154.84","154.84","","0.43%"
"01/21/2021","154.17","154.17","154.17","154.17","","-0.94%"
"01/20/2021","155.64","155.64","155.64","155.64","","-0.97%"
"01/19/2021","157.16","157.16","157.16","157.16","","-0.25%"
"01/18/2021","157.56","157.56","157.56","157.56","","-0.40%"
"01/15/2021","158.19","158.19","158.19","158.19","","-0.04%"
"01/14/2021","158.26","158.26","158.26","158.26","","2.41%"
"01/13/2021","154.53","154.53","154.53","154.53","","0.42%"
"01/12/2021","153.88","153.88","153.88","153.88","","-0.03%"
"01/11/2021","153.92","153.92","153.92","153.92","","-0.17%"
"01/08/2021","154.18","154.18","154.18","154.18","","0.16%"
"01/07/2021","153.94","153.94","153.94","153.94","","0.08%"
"01/06/2021","153.82","153.82","153.82","153.82","","0.87%"
"01/05/2021","152.49","152.49","152.49","152.49","","0.30%"
"01/04/2021","152.04","152.04","152.04","152.04","","-0.05%"
"12/31/2020","152.11","152.11","152.11","152.11","","0.76%"
"12/30/2020","150.97","150.97","150.97","150.97","","0.25%"
"12/29/2020","150.60","150.60","150.60","150.60","","0.21%"
"12/28/2020","150.29","150.29","150.29","150.29","","0.07%"
"12/24/2020","150.18","150.18","150.18","150.18","","0.24%"
"12/23/2020","149.82","149.82","149.82","149.82","","0.51%"
"12/22/2020","149.06","149.06","149.06","149.06","","1.04%"
"12/21/2020","147.52","147.52","147.52","147.52","","-0.35%"
"12/18/2020","148.04","148.04","148.04","148.04","","1.18%"
"12/17/2020","146.32","146.32","146.32","146.32","","0.06%"
"12/16/2020","146.23","146.23","146.23","146.23","","-0.50%"
"12/15/2020","146.96","146.96","146.96","146.96","","-0.35%"
"12/14/2020","147.48","147.48","147.48","147.48","","0.24%"
"12/11/2020","147.12","147.12","147.12","147.12","","0.79%"
"12/10/2020","145.97","145.97","145.97","145.97","","-0.42%"
