date,value
1994-08-02,4310.7998
1994-08-03,4392.2002
1994-08-04,4355.0000
1994-08-05,4469.5000
1994-08-08,4580.8999
1994-08-09,4558.2998
1994-08-10,4513.2002
1994-08-11,4463.7998
1994-08-12,4547.1001
1994-08-15,4651.0000
1994-08-16,4744.1001
1994-08-17,4968.8999
1994-08-18,5026.6001
1994-08-19,5138.2998
1994-08-22,5385.7998
1994-08-23,5304.0000
1994-08-24,5207.7002
1994-08-25,5354.6001
1994-08-26,5214.2998
1994-08-29,5323.1001
1994-08-30,5379.7002
1994-08-31,5329.5000
1994-09-01,5436.8999
1994-09-02,5367.5000
1994-09-05,4804.0000
1994-09-06,4988.7002
1994-09-08,5272.1001
1994-09-09,5351.1001
1994-09-12,5510.8999
1994-09-13,5511.0000
1994-09-14,5476.3999
1994-09-15,5287.5000
1994-09-16,5293.7002
1994-09-19,5291.7998
1994-09-20,5177.3999
1994-09-21,5305.8999
1994-09-22,5395.2002
1994-09-23,5453.2002
1994-09-26,5265.1001
1994-09-27,5217.5000
1994-09-28,5277.1001
1994-09-29,5442.6001
1994-09-30,5484.0000
1994-10-04,5335.1001
1994-10-05,5166.8999
1994-10-06,4979.3999
1994-10-07,4876.7002
1994-10-10,5032.1001
1994-10-11,4926.0000
1994-10-13,4944.6001
1994-10-14,4833.7998
1994-10-17,4784.3999
1994-10-18,4909.6001
1994-10-19,4758.7002
1994-10-20,4724.5000
1994-10-21,4561.8999
1994-10-24,4344.1001
1994-10-25,4543.3999
1994-10-26,4663.7002
1994-10-27,4706.7002
1994-10-28,4927.6001
1994-10-31,4797.8999
1994-11-01,4700.8999
1994-11-03,4508.0000
1994-11-04,4666.7002
1994-11-07,4808.7998
1994-11-08,4782.1001
1994-11-09,4885.0000
1994-11-10,4992.6001
1994-11-11,4952.0000
1994-11-14,4948.7002
1994-11-16,4989.6001
1994-11-17,4873.7002
1994-11-18,4712.5000
1994-11-21,4483.5000
1994-11-22,4494.7998
1994-11-23,4393.0000
1994-11-24,4573.3999
1994-11-25,4398.7002
1994-11-28,4398.7998
1994-11-29,4672.0000
1994-11-30,4656.0000
1994-12-01,4652.2998
1994-12-02,4525.3999
1994-12-05,4631.3999
1994-12-06,4573.0000
1994-12-07,4597.2002
1994-12-08,4768.7002
1994-12-09,4731.2998
1994-12-12,4813.2002
1994-12-13,4835.2002
1994-12-14,4976.8999
1994-12-15,4842.7002
1994-12-16,4917.7002
1994-12-19,4922.8999
1994-12-20,4799.1001
1994-12-21,4495.2002
1994-12-22,4221.2002
1994-12-23,4351.3999
1994-12-26,4278.2998
1994-12-27,4113.7002
1994-12-28,4195.2998
1994-12-29,4353.8999
1995-01-02,4301.0000
1995-01-03,4098.0000
1995-01-04,3967.8999
1995-01-05,4036.7000
1995-01-06,3827.3999
1995-01-09,3627.8000
1995-01-10,3270.0000
1995-01-11,3499.1001
1995-01-12,3840.6001
1995-01-13,4103.7998
1995-01-16,4056.3999
1995-01-17,4209.7998
1995-01-18,4078.5000
1995-01-19,3809.3999
1995-01-20,3862.3000
1995-01-23,3758.5000
1995-01-24,3840.3000
1995-01-26,3926.8999
1995-01-27,3784.3000
1995-01-30,3580.7000
1995-01-31,3885.0000
1995-02-01,3989.8000
1995-02-02,3897.8999
1995-02-03,3944.3999
1995-02-06,3829.8000
1995-02-07,3637.3999
1995-02-08,3556.3000
1995-02-09,3401.6001
1995-02-10,3307.7000
1995-02-13,3294.8999
1995-02-14,3192.2000
1995-02-15,3069.3999
1995-02-16,2863.8000
1995-02-17,3023.3000
1995-02-20,2961.6001
1995-02-21,2793.1001
1995-02-22,2872.3999
1995-02-23,3217.3999
1995-02-24,3270.8999
1995-03-02,2989.1001
1995-03-03,2988.0000
1995-03-06,2867.2000
1995-03-07,2615.7000
1995-03-08,2363.3000
1995-03-09,2138.3000
1995-03-10,2686.2000
1995-03-13,2670.8999
1995-03-14,3016.8999
1995-03-15,2939.3999
1995-03-16,3141.7000
1995-03-17,2981.1001
1995-03-20,2870.1001
1995-03-21,3006.1001
1995-03-22,3003.8999
1995-03-23,3145.6001
1995-03-24,3361.2000
1995-03-27,3372.3000
1995-03-28,3255.8000
1995-03-29,3198.2000
1995-03-30,3125.5000
1995-03-31,2979.0000
1995-04-03,2893.5000
1995-04-04,3125.1001
1995-04-05,3180.3000
1995-04-06,3254.6001
1995-04-07,3203.0000
1995-04-10,3114.1001
1995-04-11,3017.8000
1995-04-12,3020.8000
1995-04-17,3113.1001
1995-04-18,3193.8999
1995-04-19,3330.7000
1995-04-20,3384.3000
1995-04-24,3512.8999
1995-04-25,3699.1001
1995-04-26,3825.8999
1995-04-27,3851.1001
1995-04-28,3813.7000
1995-05-02,3861.5000
1995-05-03,3976.0000
1995-05-04,4043.8999
1995-05-05,4008.2000
1995-05-08,3914.2000
1995-05-09,4065.3999
1995-05-10,4050.3999
1995-05-11,3951.1001
1995-05-12,3998.3000
1995-05-15,3894.0000
1995-05-16,3835.1001
1995-05-17,3964.3999
1995-05-18,4008.1001
1995-05-19,3950.0000
1995-05-22,4033.7000
1995-05-23,4048.7000
1995-05-24,4099.6001
1995-05-25,4019.0000
1995-05-26,3905.0000
1995-05-29,3896.3000
1995-05-30,3706.8000
1995-05-31,3720.6001
1995-06-01,3773.6001
1995-06-02,3966.5000
1995-06-05,4062.8000
1995-06-06,3933.3000
1995-06-07,3808.2000
1995-06-08,3818.5000
1995-06-09,3670.7000
1995-06-12,3704.8000
1995-06-13,3789.3000
1995-06-14,3665.0000
1995-06-16,3717.8999
1995-06-19,3696.1001
1995-06-20,3576.8999
1995-06-21,3631.6001
1995-06-22,3598.8000
1995-06-23,3585.6001
1995-06-26,3537.0000
1995-06-27,3661.3000
1995-06-28,3661.3000
1995-06-29,3678.0000
1995-06-30,3603.3999
1995-07-03,3594.3999
1995-07-04,3633.6001
1995-07-05,3700.3000
1995-07-06,3821.0000
1995-07-07,3961.7000
1995-07-10,3958.3999
1995-07-11,3889.2000
1995-07-12,4026.5000
1995-07-13,4007.5000
1995-07-14,4026.8000
1995-07-17,4016.1001
1995-07-18,3919.2000
1995-07-19,3829.3999
1995-07-20,3939.0000
1995-07-21,3862.3999
1995-07-24,3899.7000
1995-07-25,3917.8999
1995-07-26,3878.8000
1995-07-27,3912.8999
1995-07-28,3888.3999
1995-07-31,3877.5000
1995-08-01,3870.8000
1995-08-02,3918.5000
1995-08-03,4025.5000
1995-08-04,4200.3999
1995-08-07,4393.8999
1995-08-08,4310.7998
1995-08-09,4279.7998
1995-08-10,4337.0000
1995-08-11,4193.0000
1995-08-14,4081.2000
1995-08-15,4156.3999
1995-08-16,4223.2998
1995-08-17,4229.2002
1995-08-18,4235.3999
1995-08-21,4299.0000
1995-08-22,4305.6001
