date,value
1992-08-03,1031.5500
1992-08-04,1035.6300
1992-08-05,1012.5500
1992-08-06,1002.1700
1992-08-07,1005.2300
1992-08-10,964.0900
1992-08-11,863.4100
1992-08-12,781.2100
1992-08-13,850.9400
1992-08-14,858.3800
1992-08-17,939.4600
1992-08-18,933.4400
1992-08-19,939.5100
1992-08-20,932.3200
1992-08-21,916.2500
1992-08-24,884.1000
1992-08-25,849.5700
1992-08-26,877.2500
1992-08-27,863.7700
1992-08-28,848.2000
1992-08-31,823.2700
1992-09-01,824.9600
1992-09-02,787.6700
1992-09-03,764.1100
1992-09-04,753.5800
1992-09-07,702.8300
1992-09-08,640.1200
1992-09-09,635.7400
1992-09-10,692.7800
1992-09-11,776.2900
1992-09-14,734.9800
1992-09-15,738.1600
1992-09-16,769.0400
1992-09-17,761.7200
1992-09-18,754.4000
1992-09-21,733.4400
1992-09-22,722.7000
1992-09-23,712.3700
1992-09-24,730.5700
1992-09-25,729.7900
1992-09-28,724.7000
1992-09-29,710.6300
1992-09-30,702.3200
1992-10-01,702.3200
1992-10-02,702.3200
1992-10-05,679.6200
1992-10-06,674.2400
1992-10-07,665.2600
1992-10-08,643.6900
1992-10-09,660.2900
1992-10-12,690.5700
1992-10-13,673.9900
1992-10-14,663.7500
1992-10-15,663.5300
1992-10-16,664.7500
1992-10-19,632.4000
1992-10-20,616.2900
1992-10-21,585.7000
1992-10-22,539.8000
1992-10-23,559.7300
1992-10-26,506.9400
1992-10-27,450.2800
1992-10-28,463.2100
1992-10-29,484.2500
1992-10-30,507.2500
1992-11-02,477.6100
1992-11-03,479.8100
1992-11-04,469.9000
1992-11-05,462.6300
1992-11-06,457.0500
1992-11-09,428.6100
1992-11-10,400.5300
1992-11-11,410.1600
1992-11-12,415.7900
1992-11-13,414.0900
1992-11-16,399.3200
1992-11-17,393.5200
1992-11-18,407.6100
1992-11-19,398.9500
1992-11-20,401.4400
1992-11-23,410.3900
1992-11-24,440.0400
1992-11-25,571.6300
1992-11-26,562.0100
1992-11-27,637.6700
1992-11-30,724.6000
1992-12-01,716.7400
1992-12-02,722.2000
1992-12-03,808.2000
1992-12-04,807.0200
1992-12-07,793.2500
1992-12-08,753.9400
1992-12-09,676.4500
1992-12-10,625.2300
1992-12-11,722.2800
1992-12-14,705.0700
1992-12-15,682.2400
1992-12-16,685.8200
1992-12-17,707.8200
1992-12-18,698.1300
1992-12-21,731.6800
1992-12-22,725.7800
1992-12-23,732.0500
1992-12-24,758.5900
1992-12-25,764.2800
1992-12-28,757.3100
1992-12-29,768.9100
1992-12-30,767.5200
1992-12-31,780.3900
1993-01-04,814.0400
1993-01-05,858.7200
1993-01-06,847.4400
1993-01-07,868.9700
1993-01-08,889.4700
1993-01-11,977.4200
1993-01-12,987.2600
1993-01-13,1024.0500
1993-01-14,1086.4300
1993-01-15,1063.7600
1993-01-18,1055.3200
1993-01-19,991.8300
1993-01-20,1043.3100
1993-01-21,1074.2600
1993-01-22,1100.3100
1993-01-25,1100.3100
1993-01-26,1100.3100
1993-01-27,1162.4400
1993-01-28,1150.3700
1993-01-29,1198.4800
1993-02-01,1278.5000
1993-02-02,1310.5800
1993-02-03,1300.5600
1993-02-04,1371.5800
1993-02-05,1332.9600
1993-02-08,1393.1700
1993-02-09,1474.9200
1993-02-10,1454.4600
1993-02-11,1397.3800
1993-02-12,1458.7600
1993-02-15,1536.8200
1993-02-16,1513.4800
1993-02-17,1504.0000
1993-02-18,1508.2200
1993-02-19,1499.7400
1993-02-22,1456.2900
1993-02-23,1367.3600
1993-02-24,1264.9600
1993-02-25,1410.3600
1993-02-26,1339.8800
1993-03-01,1199.7300
1993-03-02,1245.1100
1993-03-03,1231.7700
1993-03-04,1159.1300
1993-03-05,1109.5400
1993-03-08,1209.6500
1993-03-09,1137.7900
1993-03-10,1188.9700
1993-03-11,1261.8000
1993-03-12,1236.3700
1993-03-15,1171.7300
1993-03-16,1222.5500
1993-03-17,1202.8500
1993-03-18,1184.4800
1993-03-19,1174.9900
1993-03-22,1036.9200
1993-03-23,971.2500
1993-03-24,956.9700
1993-03-25,945.4200
1993-03-26,1039.7600
1993-03-29,970.4500
1993-03-30,958.0500
1993-03-31,925.9100
1993-04-01,947.2300
1993-04-02,944.0100
1993-04-05,947.8700
1993-04-06,1059.6200
1993-04-07,1099.6200
1993-04-08,1235.8700
1993-04-09,1243.0200
1993-04-12,1203.5400
1993-04-13,1297.3600
1993-04-14,1272.3900
1993-04-15,1278.8400
1993-04-16,1214.7500
1993-04-19,1223.2200
1993-04-20,1235.5200
1993-04-21,1222.5600
1993-04-22,1267.3500
1993-04-23,1260.2500
1993-04-26,1345.6100
1993-04-27,1363.4400
1993-04-28,1372.5000
1993-04-29,1349.6800
1993-04-30,1358.7800
1993-05-03,1352.2400
1993-05-04,1241.1600
1993-05-05,1246.8200
1993-05-06,1162.9200
1993-05-07,1199.8100
1993-05-10,1128.2900
1993-05-11,1136.7400
1993-05-12,1140.1900
1993-05-13,1177.2800
1993-05-14,1167.4700
1993-05-17,1140.0400
1993-05-18,1130.2600
1993-05-19,1147.2200
1993-05-20,1165.4000
1993-05-21,1143.9700
1993-05-24,1026.1300
1993-05-25,997.9500
1993-05-26,995.4500
1993-05-27,963.6100
1993-05-28,972.7700
1993-05-31,935.4800
1993-06-01,928.5800
1993-06-02,1081.2000
1993-06-03,1018.2900
1993-06-04,1004.3000
1993-06-07,1064.9800
1993-06-08,1074.5800
1993-06-09,1065.1900
1993-06-10,1044.4400
1993-06-11,1047.0000
1993-06-14,1000.4300
1993-06-15,1001.6100
1993-06-16,1004.2400
1993-06-17,998.0000
1993-06-18,1005.9800
1993-06-21,977.6100
1993-06-22,981.1300
1993-06-23,986.0200
1993-06-24,980.1700
1993-06-25,1006.6400
1993-06-28,1002.4200
1993-06-29,1028.4400
1993-06-30,1007.0500
1993-07-01,997.5300
1993-07-02,986.9800
1993-07-05,952.3100
1993-07-06,897.6400
1993-07-07,903.7900
1993-07-08,896.1600
1993-07-09,868.5700
1993-07-12,845.5200
1993-07-13,870.0500
1993-07-14,836.3900
1993-07-15,838.7000
1993-07-16,846.8700
1993-07-19,836.9800
1993-07-20,808.2100
1993-07-21,811.7400
1993-07-22,815.5300
1993-07-23,813.5400
1993-07-26,787.8100
1993-07-27,791.6200
1993-07-28,798.3300
1993-07-29,806.6700
1993-07-30,881.0700
1993-08-02,843.2700
1993-08-03,832.7200
1993-08-04,850.5400
1993-08-05,849.3000
1993-08-06,855.5200
1993-08-09,885.2700
1993-08-10,862.0800
1993-08-11,883.0200
1993-08-12,917.0400
1993-08-13,947.2600
1993-08-16,1023.8700
1993-08-17,974.1100
1993-08-18,947.9300
1993-08-19,968.5100
1993-08-20,946.5400
1993-08-23,893.2300
1993-08-24,894.4400
1993-08-25,911.4000
1993-08-26,903.9100
1993-08-27,894.5900
1993-08-30,899.2700
1993-08-31,895.6800
1993-09-01,893.9700
1993-09-02,901.3900
1993-09-03,922.6900
1993-09-06,947.5300
1993-09-07,909.0400
1993-09-08,909.1300
1993-09-09,901.6600
1993-09-10,903.5600
1993-09-13,879.2400
1993-09-14,876.6200
1993-09-15,880.7800
1993-09-16,875.0800
1993-09-17,881.4100
1993-09-20,875.0000
1993-09-21,890.2300
1993-09-22,881.2400
1993-09-23,884.0200
1993-09-24,875.8100
1993-09-27,880.9800
1993-09-28,898.1500
1993-09-29,886.1200
1993-09-30,890.2700
1993-10-01,890.2700
1993-10-04,892.5500
1993-10-05,885.8600
1993-10-06,885.0400
1993-10-07,887.6200
1993-10-08,874.7600
1993-10-11,868.3800
1993-10-12,871.4200
1993-10-13,859.7000
1993-10-14,855.0400
1993-10-15,856.9200
1993-10-18,835.2500
1993-10-19,839.6000
1993-10-20,843.8500
1993-10-21,832.2500
1993-10-22,818.8100
1993-10-25,784.9700
1993-10-26,783.2300
1993-10-27,778.3800
1993-10-28,824.6600
1993-10-29,814.8200
1993-11-01,816.7100
1993-11-02,812.6700
1993-11-03,805.7100
1993-11-04,804.2600
1993-11-05,814.3900
1993-11-08,836.9900
1993-11-09,846.1500
1993-11-10,833.1700
1993-11-11,848.2700
1993-11-12,865.9700
1993-11-15,890.4600
1993-11-16,880.3300
1993-11-17,887.6500
1993-11-18,903.0700
1993-11-19,924.6700
1993-11-22,949.7700
1993-11-23,957.9500
1993-11-24,953.2300
1993-11-25,986.6900
1993-11-26,965.3900
1993-11-29,972.9600
1993-11-30,984.9300
1993-12-01,974.8000
1993-12-02,972.8000
1993-12-03,980.6700
1993-12-06,995.7200
1993-12-07,1022.3400
1993-12-08,1009.6700
1993-12-09,984.9000
1993-12-10,978.5700
1993-12-13,950.7700
1993-12-14,925.2000
1993-12-15,940.6100
1993-12-16,908.0800
1993-12-17,901.7000
1993-12-20,783.7900
1993-12-21,840.3400
1993-12-22,821.1900
1993-12-23,833.7700
1993-12-24,834.3900
1993-12-27,839.9000
1993-12-28,839.5700
1993-12-29,821.1600
1993-12-30,826.2300
1993-12-31,833.8000
1994-01-03,833.9000
1994-01-04,832.6900
1994-01-05,846.9800
1994-01-06,869.3300
1994-01-07,879.6400
1994-01-10,900.3000
1994-01-11,891.7900
1994-01-12,888.0400
1994-01-13,897.4600
1994-01-14,849.2300
1994-01-17,859.2800
1994-01-18,835.0600
1994-01-19,807.5000
1994-01-20,802.6100
1994-01-21,812.8800
1994-01-24,839.2000
1994-01-25,815.8900
1994-01-26,812.4100
1994-01-27,818.6000
1994-01-28,799.2600
1994-01-31,770.2500
1994-02-01,755.1500
1994-02-02,772.2000
1994-02-03,780.1700
1994-02-04,797.8600
1994-02-07,797.8600
1994-02-08,797.8600
1994-02-09,797.8600
1994-02-10,797.8600
1994-02-11,797.8600
1994-02-14,779.9100
1994-02-15,772.7600
1994-02-16,776.1000
1994-02-17,768.5700
1994-02-18,769.1800
1994-02-21,754.4100
1994-02-22,768.1700
1994-02-23,759.7100
1994-02-24,758.8400
1994-02-25,787.4200
1994-02-28,770.9800
1994-03-01,757.2900
1994-03-02,742.0600
1994-03-03,734.4500
1994-03-04,726.3000
1994-03-07,718.4000
1994-03-08,711.2700
1994-03-09,716.1100
1994-03-10,698.8900
1994-03-11,717.3800
1994-03-14,788.4200
1994-03-15,772.7600
1994-03-16,793.8700
1994-03-17,776.0400
1994-03-18,765.2200
1994-03-21,731.6200
1994-03-22,739.3100
1994-03-23,725.2100
1994-03-24,724.3000
1994-03-25,719.0500
1994-03-28,702.2300
1994-03-29,706.9100
1994-03-30,706.3400
1994-03-31,704.4600
1994-04-01,698.8400
1994-04-04,694.3800
1994-04-05,682.7500
1994-04-06,679.7400
1994-04-07,677.3100
1994-04-08,678.8500
1994-04-11,659.0500
1994-04-12,665.6100
1994-04-13,656.7900
1994-04-14,636.0800
1994-04-15,626.7900
1994-04-18,604.1500
1994-04-19,572.7300
1994-04-20,540.2400
1994-04-21,582.4300
1994-04-22,566.0700
1994-04-25,560.8000
1994-04-26,579.7200
1994-04-27,598.5000
1994-04-28,599.6300
1994-04-29,592.5600
1994-05-02,592.5600
1994-05-03,605.7700
1994-05-04,619.5800
1994-05-05,590.8700
1994-05-06,585.8000
1994-05-09,581.7000
1994-05-10,595.3800
1994-05-11,591.1800
1994-05-12,582.1600
1994-05-13,590.3900
1994-05-16,592.5700
1994-05-17,592.0200
1994-05-18,583.3200
1994-05-19,590.5400
1994-05-20,594.2200
1994-05-23,587.6500
1994-05-24,590.4600
1994-05-25,586.7600
1994-05-26,577.4600
1994-05-27,573.3600
1994-05-30,544.2600
1994-05-31,556.2600
1994-06-01,545.0500
1994-06-02,546.5800
1994-06-03,548.7500
